Name;Year;Director;Actor1;Actor2;Actor3;Genre;ImagePath;Description
The Empire Back;1980;Irvin Kershner;Mark Hamill;Harrison Ford;Carrie Fisher;Sci-Fi;/images/movies/80s/01_The Empire Strikes Back.jpg;The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.;
Back to the Future;1985;Robert Zemeckis;Michael J. Fox;Christopher Lloyd;Lea Thompson;Sci-Fi;/images/movies/80s/02_Back to the future.jpg;Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents’ first meeting and attracting his mother’s romantic interest. Marty must repair the damage to history by rekindling his parents’ romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.;
Cinema Paradiso;1988;Giuseppe Tornatore;Philippe Noiret;Enzo Cannavale;Antonella Attili;Drama;/images/movies/80s/03_Cinema Paradiso.jpg;A filmmaker recalls his childhood, when he fell in love with the movies at his village’s theater and formed a deep friendship with the theater’s projectionist.;
Grave of the Fireflies;1988;Isao Takahata;Tsutomu Tatsumi;Ayano Shiraishi;Yoshiko Shinohara;Animation;/images/movies/80s/04_Grave of the Fireflies.jpg;A filmmaker recalls his childhood, when he fell in love with the movies at his village’s theater and formed a deep friendship with the theater’s projectionist.;
Raiders of the Lost Ark;1981;Steven Spielberg;Harrison Ford;Karen Allen;Paul Freeman;Action;/images/movies/80s/05_Raiders of the Lost Ark.jpg;When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.;
Aliens;1986;James Cameron;Sigourney Weaver;Michael Biehn;Carrie Henn;Sci-Fi;/images/movies/80s/06_Aliens.jpg;THIS TIME IT’S WAR. Ripley, the sole survivor of the Nostromo’s deadly encounter with the monstrous Alien, returns to Earth after drifting through space in hypersleep for 57 years. Although her story is initially met with skepticism, she agrees to accompany a team of Colonial Marines back to LV-426.;
The Shining;1980;Stanley Kubrick;Jack Nicholson;Shelley Duvall;Danny Lloyd;Horror;/images/movies/80s/07_The Shining.jpg;A MASTERPIECE OF MODERN HORROR. Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren’t prepared for the madness that lurks within.;
Scarface;1983;Brian De Palma;Al Pacino;Michelle Pfeiffer;Steven Bauer;Crime;/images/movies/80s/08_Scarface.jpg;HE LOVED THE AMERICAN DREAM. WITH A VENGEANCE. After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.;
Die Hard;1988;John McTiernan;Bruce Willis;Alan Rickman;Bonnie Bedelia;Action;/images/movies/80s/09_Die Hard.jpg;40 STORIES OF SHEER ADVENTURE! NYPD cop John McClane’s plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her office’s Christmas Party, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.;
Blade Runner;1982;Ridley Scott;Harrison Ford;Rutger Hauer;Sean Young;Sci-Fi;/images/movies/80s/10_Blade Runner.jpg;MAN HAS MADE HIS MATCH… NOW IT’S HIS PROBLEM. In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.;
The Shawshank Redemption;1994;Frank Darabont;Tim Robbins;Morgan Freeman;Bob Gunton;Drama;/images/movies/90s/01_The Shawshank Redemption.jpg;FEAR CAN HOLD YOU PRISONER. HOPE CAN SET YOU FREE. Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates – including an older prisoner named Red – for his integrity and unquenchable sense of hope.;
Schindler's List;1993;Steven Spielberg;Liam Neeson;Ben Kingsley;Ralph Fiennes;Biography;/images/movies/90s/02_Schindler’s List.jpg;WHOEVER SAVES ONE LIFE, SAVES THE WORLD ENTIRE. The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.;
Pulp Fiction;1994;Quentin Tarantino;John Travolta;Uma Thurman;Samuel L. Jackson;Crime;/images/movies/90s/03_Pulp Fiction.jpg;YOU WON’T KNOW THE FACTS UNTIL YOU’VE SEEN THE FICTION. A burger-loving hit man, his philosophical partner, a drug-addled gangster’s moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.;
Fight Club;1999;David Fincher;Brad Pitt;Edward Norton;Meat Loaf;Drama;/images/movies/90s/04_Fight Club.jpg;MISCHIEF. MAYHEM. SOAP. A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground “fight clubs” forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.;
Forrest Gump;1994;Robert Zemeckis;Tom Hanks;Robin Wright;Gary Sinise;Drama;/images/movies/90s/05_Forrest Gump.jpg;THE WORLD WILL NEVER BE THE SAME ONCE YOU’VE SEEN IT THROUGH THE EYES OF FORREST GUMP. A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.;
The Matrix;1999;Lana Wachowski;Keanu Reeves;Laurence Fishburne;Carrie-Anne Moss;Sci-Fi;/images/movies/90s/06_The Matrix.jpg;BELIEVE THE UNBELIEVABLE. Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.;
GoodFellas;1990;Martin Scorsese;Robert De Niro;Ray Liotta;Joe Pesci;Biography;/images/movies/90s/07_GoodFellas.jpg;THREE DECADES OF LIFE IN THE MAFIA. The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.;
The Silence of the Lambs;1991;Jonathan Demme;Jodie Foster;Anthony Hopkins;Lawrence A. Bonney;Thriller;/images/movies/90s/08_The Silence of the Lambs.jpg;TO ENTER THE MIND OF A KILLER SHE MUST CHALLENGE THE MIND OF A MADMAN. Clarice Starling is a top student at the FBI’s training academy. Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism. Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.;
Se7en;1995;David Fincher;Morgan Freeman;Brad Pitt;Kevin Spacey;Crime;/images/movies/90s/09_Se7en.jpg;GLUTTONY. GREED. SLOTH. ENVY. WRATH. PRIDE. LUST. Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the “seven deadly sins” in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer’s mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.;
Saving Private Ryan;1998;Steven Spielberg;Tom Hanks;Matt Damon;Tom Sizemore;War;/images/movies/90s/10_Saving Private Ryan.jpg;THE MISSION IS A MAN. As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.;
The Lord of the Rings: The Return of the King;2003;Peter Jackson;Elijah Wood;Viggo Mortensen;Ian McKellen;Fantasy;/images/movies/2000_2010/01_The Lord of the Rings- The Return of the th.jpg;THE EYE OF THE ENEMY IS MOVING. As armies mass for a final battle that will decide the fate of the world–and powerful, ancient forces of Light and Dark compete to determine the outcome–one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​ ;
The Dark Knight;2008;Christopher Nolan;Christian Bale;Heath Ledger;Aaron Eckhart;Action;/images/movies/2000_2010/02_The Dark Knight.jpg;WELCOME TO A WORLD WITHOUT RULES. Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.;
The Lord of the Rings: The Fellowship of the Ring;2001;Peter Jackson;Elijah Wood;Ian McKellen;Orlando Bloom;Fantasy;/images/movies/2000_2010/03_The Lord of the Rings- The Fellowship o.jpg;ONE RING TO RULE THEM ALL. Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.;
The Lord of the Rings: The Two Towers;2002;Peter Jackson;Elijah Wood;Ian McKellen;Viggo Mortensen;Fantasy;/images/movies/2000_2010/04_The Lord of the Rings- The Two Towers.jpg;THE JOURNEY CONTINUES. Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring–but on separate paths. Their destinies lie at two towers–Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron’s fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.;
City of God;2002;Fernando Meirelles;Alexandre Rodrigues;Leandro Firmino;Matheus Nachtergaele;Crime;/images/movies/2000_2010/05_City of God.jpg;IF YOU RUN, THE BEAST CATCHES YOU; IF YOU STAY, THE BEAST EATS YOU. In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.;
